MA,AA,Re,CL,CM,CD
0.85133,4.45185,5007210,0.656832,-0.0457383,0.0491084
0.851336,3.65247,19697600,0.619462,-0.0835685,0.034419
0.851378,2.90801,19691200,0.535104,-0.0796919,0.0252454
0.85138,3.62322,29933800,0.624383,-0.0907798,0.034077
0.851383,4.62963,29990100,0.689733,-0.0589129,0.051574
0.851384,5.13056,29965300,0.715608,-0.0422661,0.0613811
0.85144,3.90462,19800400,0.637027,-0.0766354,0.0384372
0.85149,5.61922,30000700,0.743718,-0.0319745,0.0709698
0.85157,3.40786,4989900,0.586394,-0.0710936,0.0324426
0.851851,3.17539,4987950,0.55892,-0.0714582,0.029476
0.852166,3.9051,19775200,0.63589,-0.0761361,0.0386312
0.858738,6.66916,4980010,0.759842,-0.0143863,0.0891362
0.85903,4.62335,4984030,0.662091,-0.0403311,0.0547152
0.859145,7.12012,4982540,0.781051,-0.0125092,0.0979674
0.859509,8.61183,4984380,0.817476,-0.0161268,0.127584
0.859582,1.90028,4986410,0.394275,-0.0555504,0.0201557
0.859647,-0.820555,4985640,0.0427814,-0.0271506,0.0146606
0.859651,9.09562,4983950,0.825325,-0.0175941,0.138208
0.859717,-2.84315,4989740,-0.204977,-0.000684712,0.0237777
0.85979,1.67081,4989260,0.358067,-0.052392,0.0191709
0.859802,10.1206,4989180,0.839762,-0.012812,0.161412
0.859872,4.164,4984480,0.630807,-0.0500502,0.046838
0.859896,2.43918,4984850,0.467203,-0.0644587,0.0237716
0.859975,-1.82788,4989440,-0.0881785,-0.0109453,0.0168508
0.860029,3.69148,4982700,0.598947,-0.0613809,0.039169
0.86012,0.261996,4990360,0.177573,-0.0396841,0.0153268
0.860324,5.14185,4986560,0.693599,-0.0345462,0.0636973
0.860359,5.61686,4984280,0.715173,-0.0309844,0.0707135
0.86039,3.17356,4987540,0.55628,-0.0707654,0.0316486
0.860424,6.10849,4983920,0.732099,-0.0240549,0.078593
0.860495,8.10985,4982640,0.814223,-0.0210727,0.117522
0.86062,2.67271,4987090,0.500728,-0.0692861,0.0259344
0.860688,7.64071,4984640,0.801632,-0.0161469,0.108412
0.860699,2.90601,4987830,0.530403,-0.0720105,0.0284593
0.860925,1.17518,4991460,0.294589,-0.0481808,0.0174143
0.861052,3.36094,4986160,0.575437,-0.0668005,0.0346112
0.861067,9.63256,4987520,0.833525,-0.0163472,0.150218
0.861082,2.17082,4988030,0.432036,-0.06017,0.0218592
0.861546,3.91162,4988370,0.611789,-0.0555706,0.0430811
0.868072,3.91427,19805200,0.617009,-0.067483,0.0440006
0.868734,3.89645,29990300,0.623801,-0.0777237,0.0442529
0.869024,3.87451,4994310,0.601701,-0.0523781,0.0450631
0.869058,6.54958,4996500,0.743699,-0.0134028,0.0893328
0.869109,2.14335,29894900,0.453521,-0.089154,0.0217247
0.869114,3.68851,4995650,0.585899,-0.0567624,0.0418502
0.869147,4.20813,4994530,0.621956,-0.0469551,0.0501501
0.869187,1.13199,29940400,0.312773,-0.0710393,0.0156648
0.869225,0.157512,29892900,0.181988,-0.0596431,0.0130827
0.869231,3.39075,19730900,0.578164,-0.0794348,0.0364628
0.869269,-2.81939,5001430,-0.197423,-0.000564145,0.0257188
0.869307,4.87763,19803700,0.678601,-0.0456435,0.0613638
0.869344,-0.815017,5000910,0.0371107,-0.0235701,0.0152478
0.86938,7.65504,4997190,0.786849,-0.0145185,0.109435
0.869388,0.263425,5000080,0.178289,-0.0394404,0.0154648
0.869432,-1.80418,5002590,-0.0935628,-0.00458173,0.0184346
0.869454,7.18477,4999380,0.765626,-0.0110661,0.100562
0.869463,1.6497,19732000,0.381524,-0.0730543,0.0184446
0.869464,4.38636,19805300,0.647591,-0.0567756,0.0526657
0.869511,9.17476,5004870,0.825488,-0.0190481,0.141089
0.869562,4.40367,19821100,0.646169,-0.0554389,0.0526603
0.869562,3.61513,29957600,0.602775,-0.0836664,0.0399237
0.869683,4.89701,19815400,0.677081,-0.0447483,0.0613401
0.869727,0.628395,29888700,0.24369,-0.0648603,0.0140525
0.86978,0.679656,19728700,0.24508,-0.0585736,0.0144155
0.869782,9.56781,5000820,0.835956,-0.0240444,0.150052
0.869804,3.12908,4996760,0.542651,-0.0659009,0.033944
0.869849,5.60396,4995900,0.70622,-0.0312025,0.0729034
0.869862,1.16121,19740100,0.310518,-0.0640736,0.0158022
0.86987,1.15624,19729700,0.310912,-0.0655713,0.0161117
0.869892,2.71126,4995870,0.502579,-0.070602,0.028459
0.869917,-0.809996,19762000,0.0534794,-0.0408645,0.0131803
0.869921,6.14193,4996480,0.722061,-0.0203968,0.0816669
0.869946,-0.841933,29923300,0.051362,-0.0452276,0.0127975
0.869977,0.16108,19712900,0.180893,-0.0541036,0.0135373
0.869985,1.6471,4999060,0.368197,-0.0568812,0.0196752
0.869989,2.64413,19723100,0.510765,-0.087841,0.0266395
0.869993,3.37691,29948200,0.582839,-0.0870339,0.0364866
0.87,-1.90864,19802700,-0.0931034,-0.0189754,0.0168746
0.870004,-0.788687,19741100,0.0536028,-0.0399409,0.0130252
0.870007,3.87845,19779900,0.613258,-0.0684778,0.0442482
0.870013,2.37959,4996830,0.468985,-0.069641,0.0250649
0.87009,0.183872,19725600,0.180695,-0.0531927,0.0133752
0.87013,-1.8935,29874200,-0.089849,-0.0235017,0.0164293
0.870178,4.63057,4996550,0.651465,-0.0401533,0.0576667
0.870182,0.661761,19691800,0.244704,-0.0594059,0.0145498
0.87022,1.69047,19723000,0.38287,-0.0728459,0.0186421
0.870231,4.88275,29981600,0.685914,-0.0544632,0.0617394
0.870279,8.04967,5001900,0.808245,-0.0246944,0.118273
0.870301,-1.86033,19720500,-0.088891,-0.0185791,0.0164927
0.870372,2.15722,19734600,0.448491,-0.0822041,0.0219784
0.870416,8.68035,5004320,0.821294,-0.0235837,0.130821
0.8705,4.16936,19834100,0.629663,-0.0608018,0.0488581
0.870527,5.14465,4998970,0.68174,-0.0356757,0.0658843
0.87053,3.44278,4999200,0.565244,-0.0607924,0.0385396
0.870534,3.16567,19769300,0.557119,-0.081517,0.0335728
0.870566,4.38603,29987100,0.653995,-0.0656125,0.052957
0.870708,2.16479,19726100,0.451833,-0.0838118,0.0223657
0.870784,4.62171,29988400,0.669325,-0.0602039,0.057239
0.870818,2.91474,5000930,0.520181,-0.0684948,0.0312298
0.870827,1.96594,4999720,0.409261,-0.0625228,0.0217723
0.870888,5.12991,29975400,0.699217,-0.0494667,0.0663735
0.870905,3.13721,19740400,0.555332,-0.0823007,0.0334195
0.870915,3.64974,19817200,0.595421,-0.0724657,0.0405758
0.870967,1.21883,5003670,0.30525,-0.0505675,0.017902
0.871004,2.66352,19739100,0.512349,-0.08841,0.0273771
0.871011,4.12997,30012700,0.637335,-0.0720752,0.048705
0.871054,3.39433,19798800,0.575705,-0.077458,0.0368746
0.871135,2.17724,5000360,0.438832,-0.0664388,0.02341
0.871161,5.11352,19829000,0.69031,-0.0416975,0.0659479
0.871199,5.61718,30006100,0.725644,-0.0406733,0.075101
0.871241,3.6443,19768500,0.594405,-0.0737656,0.0406778
0.871351,4.13571,19792000,0.628218,-0.0622037,0.0489215
0.871371,4.66467,19842700,0.660519,-0.0503641,0.0577015
0.871385,3.14689,29952800,0.560347,-0.089793,0.0336946
0.871445,1.65636,29919200,0.386479,-0.0811053,0.01855
0.871544,4.64072,19813500,0.661688,-0.0512011,0.0576252
0.872154,2.62831,29935900,0.513764,-0.0960562,0.027262
0.879145,3.17927,4987300,0.529738,-0.0606984,0.0369302
0.879184,6.61327,4990640,0.730205,-0.0119481,0.0921533
0.879252,-1.80366,4991800,-0.0943256,-0.00121569,0.0203564
0.879325,-0.794289,4989410,0.0316243,-0.0171813,0.0163322
0.879451,5.64265,4990670,0.695226,-0.0291148,0.0756491
0.879527,0.255873,4988860,0.176197,-0.0380734,0.0158614
0.879616,8.62712,4999920,0.819239,-0.0264179,0.131477
0.879631,3.64064,4987970,0.567154,-0.0533208,0.0438704
0.879636,6.13492,4991170,0.710737,-0.0174293,0.0838946
0.879646,9.08769,5001680,0.832969,-0.0211487,0.142027
0.879937,1.68238,4992160,0.375204,-0.0624504,0.0212117
0.879939,2.17411,4985870,0.436425,-0.0677529,0.0251805
0.879959,4.67693,4988090,0.637453,-0.0404635,0.0599902
0.880051,5.13958,4990090,0.668106,-0.0354918,0.0676239
0.8801,7.66059,4997350,0.77327,-0.00905785,0.111284
0.880138,-2.84041,4994810,-0.189905,-0.00162952,0.0281977
0.880165,3.39507,4989470,0.546733,-0.0569894,0.040297
0.880246,10.1781,5004710,0.843175,-0.0120687,0.165856
0.880289,2.93325,4987640,0.508387,-0.0629521,0.034023
0.880303,2.70641,4985940,0.487666,-0.0651731,0.0311973
0.880459,2.38524,4988300,0.45976,-0.0669722,0.0276786
0.880556,1.91157,4992510,0.406939,-0.0660253,0.0230484
0.880649,9.58541,5006410,0.836579,-0.0190925,0.152488
0.880705,4.12338,4991660,0.600971,-0.0465582,0.0514972
0.880996,7.12066,4995290,0.751503,-0.00943791,0.1017
0.881073,1.18674,4995030,0.307067,-0.0540843,0.0186079
0.881139,8.10277,5001720,0.801319,-0.017968,0.121028
0.881312,3.98912,4991310,0.587316,-0.0486369,0.0493216
