MA,AA,Re,CL,CM,CD
0.700272,2.90135,29967400,0.442253,-0.0546634,0.0193229
0.700287,-1.85226,19755900,-0.0306075,-0.0450191,0.012018
0.700288,4.90164,30010400,0.632582,-0.0470471,0.0300918
0.70029,3.64898,4996700,0.510616,-0.0419824,0.0242011
0.700297,4.37816,29968900,0.584236,-0.0502267,0.0263707
0.700307,3.07583,30012700,0.459809,-0.054388,0.0199909
0.700308,3.17164,4994350,0.462405,-0.0437981,0.0221752
0.700326,9.606,4996650,0.845177,0.0370528,0.130441
0.700326,3.11003,19731200,0.461609,-0.0509396,0.0205112
0.700337,0.664623,4995780,0.216069,-0.0413727,0.0154553
0.700341,-1.34771,19754900,0.019779,-0.046239,0.0119524
0.700343,2.14025,4999020,0.362271,-0.0443479,0.0187788
0.700347,11.1275,4996180,0.875534,0.050409,0.170707
0.700356,2.41357,4997840,0.391797,-0.0442289,0.0195384
0.700363,-2.8238,19793700,-0.128416,-0.0422797,0.0128556
0.700376,4.3976,4997640,0.579661,-0.0384215,0.0283084
0.700384,3.66572,4995530,0.508724,-0.0421775,0.0243283
0.700395,4.14324,29975100,0.561582,-0.0513637,0.0249493
0.700398,1.64966,4995030,0.315693,-0.0434815,0.0174502
0.700398,3.38693,29932400,0.489372,-0.0539805,0.0212866
0.700408,7.73918,4995980,0.799189,0.0147293,0.079539
0.700408,3.90343,19807000,0.536991,-0.0487764,0.0239978
0.700409,3.1264,19796400,0.464084,-0.0510512,0.0205285
0.700417,4.39292,19790100,0.583851,-0.0468315,0.0267867
0.700421,3.41061,19787400,0.490319,-0.0505306,0.0217039
0.700425,3.92008,4997630,0.535037,-0.0408664,0.0255657
0.700436,3.9063,4997840,0.531986,-0.0411195,0.0254862
0.700437,4.39983,19823700,0.583814,-0.046529,0.0268346
0.700442,4.91214,4995800,0.628819,-0.0353464,0.032138
0.700468,5.64868,29979800,0.6972,-0.0385535,0.0367826
0.700506,3.39968,19767200,0.489451,-0.0502167,0.0216199
0.70055,4.16922,4996260,0.556467,-0.0398319,0.0269098
0.700551,5.14987,19798200,0.653829,-0.0413519,0.0324267
0.700552,4.15627,29975100,0.562825,-0.0511034,0.025039
0.700566,3.64467,19786000,0.513281,-0.0497257,0.0227128
0.700579,4.67632,4995140,0.60509,-0.0367575,0.030291
0.700586,-1.83313,29899000,-0.0277048,-0.0484284,0.0113483
0.700611,2.68067,4999160,0.414915,-0.0444564,0.0204239
0.700618,5.15133,30047900,0.655534,-0.0449582,0.03211
0.70063,4.6491,30001600,0.609698,-0.0486451,0.0281535
0.700684,4.90162,19844900,0.631939,-0.0433108,0.0303731
0.700716,5.16694,4999860,0.655842,-0.0334622,0.0343804
0.700717,5.65743,4997690,0.702401,-0.0303556,0.0392492
0.700721,5.15338,29965900,0.655748,-0.0446581,0.0321531
0.700736,3.90843,4996790,0.532535,-0.0411374,0.0254672
0.700772,3.14165,29983400,0.466199,-0.0543075,0.0202291
0.700811,3.88973,29974900,0.537731,-0.0522738,0.0235762
0.700815,5.16338,4996070,0.65225,-0.033669,0.0342958
0.700858,4.65766,5000600,0.605902,-0.036652,0.0302104
0.700877,4.9031,19831300,0.631009,-0.042675,0.0302969
0.700921,2.2031,4998040,0.368904,-0.0444846,0.018949
0.701124,5.15033,19846800,0.653233,-0.0404841,0.0323125
0.701145,5.15201,30043300,0.655908,-0.0448764,0.0321741
0.701299,6.13784,30033200,0.728718,-0.0280525,0.0425814
0.701401,6.16743,5000380,0.746738,-0.024769,0.0455444
0.749213,-2.83064,4991840,-0.15143,-0.0249584,0.0159399
0.749295,6.64656,4991700,0.823891,-0.026374,0.0600012
0.749325,2.1643,4994910,0.375901,-0.0459642,0.0191239
0.749865,1.1569,4996890,0.27165,-0.0438621,0.0164744
0.749905,-1.82358,4995400,-0.044311,-0.0294946,0.014356
0.749927,-0.812217,4996710,0.0638493,-0.0353148,0.0141002
0.74993,2.66876,4997690,0.427131,-0.0460376,0.0208528
0.749966,2.91415,4997700,0.452619,-0.0456101,0.021761
0.749976,2.41933,4997950,0.402065,-0.0460795,0.0199413
0.750086,4.6721,4993780,0.641448,-0.04195,0.0331523
0.750114,0.25174,4998080,0.175841,-0.0403695,0.0149139
0.750149,3.91193,4996100,0.557262,-0.0435098,0.0270258
0.750275,4.17106,4996630,0.585419,-0.0428066,0.0288543
0.750411,6.14831,4996170,0.794329,-0.0369326,0.05168
0.750465,1.921,4998440,0.350706,-0.0457053,0.0183911
0.750468,1.67039,4999720,0.325496,-0.0452159,0.0176834
0.750505,3.16454,5000040,0.478644,-0.0451253,0.0228864
0.75056,3.67405,4998340,0.531309,-0.0440969,0.0255771
0.750675,5.16359,4994670,0.696751,-0.0419486,0.0382933
0.750685,5.66685,4995850,0.752317,-0.0413771,0.0446981
0.750701,3.40846,4999340,0.504777,-0.0446716,0.0241184
0.79842,2.64034,29881500,0.449141,-0.0624698,0.0198263
0.798853,3.9317,29864500,0.60293,-0.0627659,0.0281607
0.798917,4.65345,30009800,0.694477,-0.0664719,0.0358246
0.799156,8.44745,4989410,0.819137,-0.00991549,0.114452
0.799164,1.65143,29877700,0.340427,-0.0615002,0.0160577
0.799181,3.64132,29884800,0.568847,-0.0624271,0.025783
0.79919,4.8877,30076500,0.721095,-0.0671986,0.0389292
0.799198,4.87886,19774000,0.718733,-0.062551,0.0391259
0.799225,4.1459,19769400,0.62927,-0.0597537,0.0304468
0.799235,7.91051,4989790,0.817973,-0.0142136,0.100363
0.799272,-1.87274,19775900,-0.0503011,-0.0405261,0.0121717
0.799304,3.64678,19758400,0.565894,-0.0582138,0.0261824
0.799308,5.12746,30022100,0.74806,-0.066224,0.0423998
0.799309,2.64583,19767400,0.447677,-0.0582809,0.0202576
0.799322,4.16365,19756900,0.629735,-0.0588431,0.0305028
0.79938,-2.87851,4994960,-0.177261,-0.0192996,0.0168662
0.799418,10.0878,4989950,0.849524,0.00292683,0.154736
0.799472,6.62496,4988250,0.806836,-0.0195387,0.0727516
0.799475,-1.85289,4990110,-0.0607111,-0.025167,0.0146018
0.799504,1.15591,19754100,0.283414,-0.0549731,0.0149188
0.799544,5.64834,4986420,0.755188,-0.0333503,0.05457
0.799547,0.637237,19754700,0.227145,-0.0539257,0.0139159
0.79955,2.65844,19751600,0.449207,-0.0574251,0.0201035
0.799569,3.40767,19744700,0.536951,-0.057293,0.0243474
0.799624,-0.844429,19765200,0.0638263,-0.0467037,0.0120767
0.79966,1.13885,29908900,0.284633,-0.0598654,0.014596
0.799717,0.632098,29879600,0.229412,-0.0578847,0.0134156
0.799734,0.63813,19737600,0.226982,-0.053171,0.0137572
0.799756,0.228467,4981800,0.173304,-0.0403358,0.0149926
0.799758,9.64826,4990310,0.839191,-0.00519357,0.14278
0.799759,5.12134,19767500,0.740795,-0.0585532,0.0427191
0.79978,3.15788,29894100,0.509583,-0.0624461,0.0226342
0.799784,2.40401,4984970,0.41506,-0.0487152,0.0205887
0.799787,4.90692,19756000,0.721432,-0.0616114,0.0394375
0.799804,2.16217,4982520,0.387472,-0.0483924,0.0196653
0.799818,3.91533,19775400,0.599215,-0.0588925,0.0284496
0.799829,3.66143,4988330,0.564497,-0.0499221,0.0278285
0.799849,3.65288,19736100,0.566595,-0.0574237,0.02604
0.799852,1.92081,4980860,0.360466,-0.047967,0.0188431
