MA,BETA,AA,CL,CD,CN,CA,CM
0.15,-5,36,1.33,0.884,1.6,-0.0642,-0.166
0.15,-5,38,1.35,0.968,1.66,-0.0666,-0.176
0.15,-5,40,1.36,1.05,1.71,-0.0678,-0.185
0.15,-5,45,1.2,1.12,1.64,-0.0513,-0.198
0.15,-5,50,0.787,0.924,1.22,-0.00753,-0.19
0.15,-5,55,0.695,0.982,1.21,-0.0042,-0.198
0.15,-5,60,0.632,1.08,1.25,-0.00539,-0.215
0.15,0,-2,-0.0307,0.00891,-0.031,0.00783,-0.00989
0.15,0,0,0.0379,0.00766,0.0379,0.00766,-0.0158
0.15,0,2,0.101,0.00911,0.102,0.00557,-0.0207
0.15,0,4,0.166,0.014,0.166,0.00237,-0.0262
0.15,0,6,0.242,0.0236,0.243,-0.00173,-0.0349
0.15,0,8,0.333,0.0408,0.335,-0.00592,-0.0478
0.15,0,10,0.431,0.0657,0.436,-0.0101,-0.0617
0.15,0,12,0.534,0.0989,0.543,-0.0143,-0.075
0.15,0,14,0.627,0.137,0.641,-0.0191,-0.0829
0.15,0,16,0.699,0.176,0.721,-0.0239,-0.0826
0.15,0,20,0.842,0.273,0.885,-0.0317,-0.0907
0.15,0,24,1.01,0.402,1.08,-0.0414,-0.109
0.15,0,28,1.17,0.563,1.3,-0.0528,-0.132
0.15,0,32,1.3,0.737,1.49,-0.0635,-0.151
0.15,0,34,1.35,0.826,1.58,-0.0684,-0.16
0.15,0,36,1.38,0.913,1.65,-0.072,-0.168
0.15,0,38,1.4,1,1.72,-0.0752,-0.176
0.15,0,40,1.41,1.08,1.78,-0.0755,-0.186
0.15,0,45,1.2,1.13,1.64,-0.0511,-0.2
0.15,0,50,0.788,0.928,1.22,-0.00704,-0.19
0.15,0,55,0.701,0.993,1.22,-0.00419,-0.199
0.15,0,60,0.641,1.1,1.27,-0.00602,-0.216
0.15,5,-2,-0.0302,0.00949,-0.0305,0.00801,-0.0104
0.15,5,0,0.0378,0.00836,0.0378,0.00796,-0.016
0.15,5,2,0.102,0.0099,0.102,0.00596,-0.0211
0.15,5,4,0.166,0.0147,0.167,0.00272,-0.0266
0.15,5,6,0.243,0.0241,0.244,-0.00154,-0.0352
0.15,5,8,0.333,0.0413,0.336,-0.00544,-0.0479
0.15,5,10,0.433,0.0664,0.438,-0.00955,-0.0617
0.15,5,12,0.525,0.0973,0.534,-0.0137,-0.071
0.15,5,14,0.604,0.132,0.618,-0.0176,-0.0755
0.15,5,16,0.691,0.175,0.712,-0.022,-0.0821
0.15,5,20,0.854,0.277,0.897,-0.0312,-0.0941
0.15,5,24,1.02,0.407,1.1,-0.0417,-0.11
0.15,5,28,1.15,0.553,1.28,-0.0515,-0.125
0.15,5,32,1.25,0.71,1.44,-0.0579,-0.144
0.15,5,34,1.29,0.795,1.52,-0.0603,-0.156
0.15,5,36,1.33,0.883,1.59,-0.0629,-0.167
0.15,5,38,1.35,0.969,1.66,-0.0649,-0.177
0.15,5,40,1.35,1.05,1.71,-0.0652,-0.185
0.15,5,45,1.19,1.11,1.63,-0.0478,-0.198
0.15,5,50,0.79,0.926,1.22,-0.0074,-0.19
0.15,5,55,0.705,0.997,1.22,-0.00429,-0.2
0.15,5,60,0.637,1.09,1.26,-0.0059,-0.215
